Participation Rate _%_
73.59
69.93
58.05
71.78
66.32
78.4
75.38
83.11
61.66
79.65
80.09
59.4
64.35
78.93
74.59
74.37
82.93
67.68
63.83
80.22
77.77
63.8
69.1
64.11
83.69
55.21
70.78
88.11
77.8
85.13
86.6
91.7
75.52
