London population by borough 
399007
388563
355266
340341
333587
332752
331969
329735
327753
321813
320017
309014
305658
305309
289034
280941
276940
271767
269848
266357
260651
252338
249301
248115
214107
207707
206453
198141
183544
179142
156864
10938
175470
